id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_cuaca_ekstrem,satuan,tahun
324,32,JAWA BARAT,3279,KOTA BANJAR,4,KEJADIAN,2023
325,32,JAWA BARAT,3201,KABUPATEN BOGOR,229,KEJADIAN,2024
326,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,68,KEJADIAN,2024
327,32,JAWA BARAT,3203,KABUPATEN CIANJUR,8,KEJADIAN,2024
328,32,JAWA BARAT,3204,KABUPATEN BANDUNG,25,KEJADIAN,2024
329,32,JAWA BARAT,3205,KABUPATEN GARUT,14,KEJADIAN,2024
330,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,10,KEJADIAN,2024
331,32,JAWA BARAT,3207,KABUPATEN CIAMIS,37,KEJADIAN,2024
332,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,19,KEJADIAN,2024
333,32,JAWA BARAT,3209,KABUPATEN CIREBON,8,KEJADIAN,2024
334,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,10,KEJADIAN,2024
335,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,7,KEJADIAN,2024
336,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,6,KEJADIAN,2024
337,32,JAWA BARAT,3213,KABUPATEN SUBANG,15,KEJADIAN,2024
338,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,18,KEJADIAN,2024
339,32,JAWA BARAT,3215,KABUPATEN KARAWANG,91,KEJADIAN,2024
340,32,JAWA BARAT,3216,KABUPATEN BEKASI,7,KEJADIAN,2024
341,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,68,KEJADIAN,2024
342,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,22,KEJADIAN,2024
343,32,JAWA BARAT,3271,KOTA BOGOR,91,KEJADIAN,2024
344,32,JAWA BARAT,3272,KOTA SUKABUMI,19,KEJADIAN,2024
345,32,JAWA BARAT,3273,KOTA BANDUNG,6,KEJADIAN,2024
346,32,JAWA BARAT,3274,KOTA CIREBON,7,KEJADIAN,2024
347,32,JAWA BARAT,3275,KOTA BEKASI,0,KEJADIAN,2024
348,32,JAWA BARAT,3276,KOTA DEPOK,7,KEJADIAN,2024
349,32,JAWA BARAT,3277,KOTA CIMAHI,4,KEJADIAN,2024
350,32,JAWA BARAT,3278,KOTA TASIKMALAYA,39,KEJADIAN,2024
351,32,JAWA BARAT,3279,KOTA BANJAR,11,KEJADIAN,2024
352,32,JAWA BARAT,3201,KABUPATEN BOGOR,217,KEJADIAN,2025
353,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,57,KEJADIAN,2025
354,32,JAWA BARAT,3203,KABUPATEN CIANJUR,12,KEJADIAN,2025
355,32,JAWA BARAT,3204,KABUPATEN BANDUNG,26,KEJADIAN,2025
356,32,JAWA BARAT,3205,KABUPATEN GARUT,22,KEJADIAN,2025
357,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,12,KEJADIAN,2025
358,32,JAWA BARAT,3207,KABUPATEN CIAMIS,24,KEJADIAN,2025
359,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,21,KEJADIAN,2025
360,32,JAWA BARAT,3209,KABUPATEN CIREBON,8,KEJADIAN,2025
361,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,12,KEJADIAN,2025
362,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,7,KEJADIAN,2025
363,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,9,KEJADIAN,2025
364,32,JAWA BARAT,3213,KABUPATEN SUBANG,25,KEJADIAN,2025
365,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,12,KEJADIAN,2025
366,32,JAWA BARAT,3215,KABUPATEN KARAWANG,105,KEJADIAN,2025
367,32,JAWA BARAT,3216,KABUPATEN BEKASI,9,KEJADIAN,2025
368,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,52,KEJADIAN,2025
369,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,22,KEJADIAN,2025
370,32,JAWA BARAT,3271,KOTA BOGOR,64,KEJADIAN,2025
371,32,JAWA BARAT,3272,KOTA SUKABUMI,15,KEJADIAN,2025
372,32,JAWA BARAT,3273,KOTA BANDUNG,11,KEJADIAN,2025
373,32,JAWA BARAT,3274,KOTA CIREBON,1,KEJADIAN,2025
374,32,JAWA BARAT,3275,KOTA BEKASI,8,KEJADIAN,2025
375,32,JAWA BARAT,3276,KOTA DEPOK,5,KEJADIAN,2025
376,32,JAWA BARAT,3277,KOTA CIMAHI,6,KEJADIAN,2025
377,32,JAWA BARAT,3278,KOTA TASIKMALAYA,21,KEJADIAN,2025
378,32,JAWA BARAT,3279,KOTA BANJAR,5,KEJADIAN,2025
