id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_cuaca_ekstrem,satuan,tahun
136,32,JAWA BARAT,3201,KABUPATEN BOGOR,39,KEJADIAN,2017
137,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,43,KEJADIAN,2017
138,32,JAWA BARAT,3203,KABUPATEN CIANJUR,2,KEJADIAN,2017
139,32,JAWA BARAT,3204,KABUPATEN BANDUNG,9,KEJADIAN,2017
140,32,JAWA BARAT,3205,KABUPATEN GARUT,6,KEJADIAN,2017
141,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,12,KEJADIAN,2017
142,32,JAWA BARAT,3207,KABUPATEN CIAMIS,12,KEJADIAN,2017
143,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,10,KEJADIAN,2017
144,32,JAWA BARAT,3209,KABUPATEN CIREBON,5,KEJADIAN,2017
145,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,8,KEJADIAN,2017
146,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,11,KEJADIAN,2017
147,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,5,KEJADIAN,2017
148,32,JAWA BARAT,3213,KABUPATEN SUBANG,10,KEJADIAN,2017
149,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0,KEJADIAN,2017
150,32,JAWA BARAT,3215,KABUPATEN KARAWANG,13,KEJADIAN,2017
151,32,JAWA BARAT,3216,KABUPATEN BEKASI,4,KEJADIAN,2017
152,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,12,KEJADIAN,2017
153,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,22,KEJADIAN,2017
154,32,JAWA BARAT,3271,KOTA BOGOR,56,KEJADIAN,2017
155,32,JAWA BARAT,3272,KOTA SUKABUMI,1,KEJADIAN,2017
156,32,JAWA BARAT,3273,KOTA BANDUNG,8,KEJADIAN,2017
157,32,JAWA BARAT,3274,KOTA CIREBON,3,KEJADIAN,2017
158,32,JAWA BARAT,3275,KOTA BEKASI,2,KEJADIAN,2017
159,32,JAWA BARAT,3276,KOTA DEPOK,0,KEJADIAN,2017
160,32,JAWA BARAT,3277,KOTA CIMAHI,3,KEJADIAN,2017
161,32,JAWA BARAT,3278,KOTA TASIKMALAYA,27,KEJADIAN,2017
162,32,JAWA BARAT,3279,KOTA BANJAR,9,KEJADIAN,2017
163,32,JAWA BARAT,3201,KABUPATEN BOGOR,25,KEJADIAN,2018
164,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,29,KEJADIAN,2018
165,32,JAWA BARAT,3203,KABUPATEN CIANJUR,4,KEJADIAN,2018
166,32,JAWA BARAT,3204,KABUPATEN BANDUNG,7,KEJADIAN,2018
167,32,JAWA BARAT,3205,KABUPATEN GARUT,6,KEJADIAN,2018
168,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,5,KEJADIAN,2018
169,32,JAWA BARAT,3207,KABUPATEN CIAMIS,5,KEJADIAN,2018
170,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,14,KEJADIAN,2018
171,32,JAWA BARAT,3209,KABUPATEN CIREBON,10,KEJADIAN,2018
172,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,7,KEJADIAN,2018
173,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,13,KEJADIAN,2018
174,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1,KEJADIAN,2018
175,32,JAWA BARAT,3213,KABUPATEN SUBANG,8,KEJADIAN,2018
176,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,5,KEJADIAN,2018
177,32,JAWA BARAT,3215,KABUPATEN KARAWANG,8,KEJADIAN,2018
178,32,JAWA BARAT,3216,KABUPATEN BEKASI,5,KEJADIAN,2018
179,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,8,KEJADIAN,2018
180,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,7,KEJADIAN,2018
181,32,JAWA BARAT,3271,KOTA BOGOR,58,KEJADIAN,2018
182,32,JAWA BARAT,3272,KOTA SUKABUMI,2,KEJADIAN,2018
183,32,JAWA BARAT,3273,KOTA BANDUNG,11,KEJADIAN,2018
184,32,JAWA BARAT,3274,KOTA CIREBON,2,KEJADIAN,2018
185,32,JAWA BARAT,3275,KOTA BEKASI,4,KEJADIAN,2018
186,32,JAWA BARAT,3276,KOTA DEPOK,1,KEJADIAN,2018
187,32,JAWA BARAT,3277,KOTA CIMAHI,19,KEJADIAN,2018
188,32,JAWA BARAT,3278,KOTA TASIKMALAYA,31,KEJADIAN,2018
189,32,JAWA BARAT,3279,KOTA BANJAR,3,KEJADIAN,2018
190,32,JAWA BARAT,3201,KABUPATEN BOGOR,106,KEJADIAN,2019
191,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,35,KEJADIAN,2019
192,32,JAWA BARAT,3203,KABUPATEN CIANJUR,8,KEJADIAN,2019
193,32,JAWA BARAT,3204,KABUPATEN BANDUNG,19,KEJADIAN,2019
194,32,JAWA BARAT,3205,KABUPATEN GARUT,19,KEJADIAN,2019
195,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,10,KEJADIAN,2019
196,32,JAWA BARAT,3207,KABUPATEN CIAMIS,29,KEJADIAN,2019
197,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,20,KEJADIAN,2019
198,32,JAWA BARAT,3209,KABUPATEN CIREBON,14,KEJADIAN,2019
199,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,14,KEJADIAN,2019
200,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,12,KEJADIAN,2019
201,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,6,KEJADIAN,2019
202,32,JAWA BARAT,3213,KABUPATEN SUBANG,13,KEJADIAN,2019
203,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,9,KEJADIAN,2019
204,32,JAWA BARAT,3215,KABUPATEN KARAWANG,13,KEJADIAN,2019
205,32,JAWA BARAT,3216,KABUPATEN BEKASI,2,KEJADIAN,2019
206,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,8,KEJADIAN,2019
207,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,2,KEJADIAN,2019
208,32,JAWA BARAT,3271,KOTA BOGOR,70,KEJADIAN,2019
209,32,JAWA BARAT,3272,KOTA SUKABUMI,0,KEJADIAN,2019
210,32,JAWA BARAT,3273,KOTA BANDUNG,10,KEJADIAN,2019
211,32,JAWA BARAT,3274,KOTA CIREBON,14,KEJADIAN,2019
212,32,JAWA BARAT,3275,KOTA BEKASI,0,KEJADIAN,2019
213,32,JAWA BARAT,3276,KOTA DEPOK,3,KEJADIAN,2019
214,32,JAWA BARAT,3277,KOTA CIMAHI,13,KEJADIAN,2019
215,32,JAWA BARAT,3278,KOTA TASIKMALAYA,28,KEJADIAN,2019
216,32,JAWA BARAT,3279,KOTA BANJAR,2,KEJADIAN,2019
217,32,JAWA BARAT,3201,KABUPATEN BOGOR,183,KEJADIAN,2020
218,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,24,KEJADIAN,2020
219,32,JAWA BARAT,3203,KABUPATEN CIANJUR,1,KEJADIAN,2020
220,32,JAWA BARAT,3204,KABUPATEN BANDUNG,15,KEJADIAN,2020
221,32,JAWA BARAT,3205,KABUPATEN GARUT,11,KEJADIAN,2020
222,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,5,KEJADIAN,2020
223,32,JAWA BARAT,3207,KABUPATEN CIAMIS,54,KEJADIAN,2020
224,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,5,KEJADIAN,2020
225,32,JAWA BARAT,3209,KABUPATEN CIREBON,21,KEJADIAN,2020
226,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,9,KEJADIAN,2020
227,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,9,KEJADIAN,2020
228,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,4,KEJADIAN,2020
229,32,JAWA BARAT,3213,KABUPATEN SUBANG,11,KEJADIAN,2020
230,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,12,KEJADIAN,2020
231,32,JAWA BARAT,3215,KABUPATEN KARAWANG,3,KEJADIAN,2020
232,32,JAWA BARAT,3216,KABUPATEN BEKASI,4,KEJADIAN,2020
233,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,12,KEJADIAN,2020
234,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,24,KEJADIAN,2020
235,32,JAWA BARAT,3271,KOTA BOGOR,30,KEJADIAN,2020
236,32,JAWA BARAT,3272,KOTA SUKABUMI,3,KEJADIAN,2020
237,32,JAWA BARAT,3273,KOTA BANDUNG,2,KEJADIAN,2020
238,32,JAWA BARAT,3274,KOTA CIREBON,4,KEJADIAN,2020
239,32,JAWA BARAT,3275,KOTA BEKASI,1,KEJADIAN,2020
240,32,JAWA BARAT,3276,KOTA DEPOK,3,KEJADIAN,2020
241,32,JAWA BARAT,3277,KOTA CIMAHI,5,KEJADIAN,2020
242,32,JAWA BARAT,3278,KOTA TASIKMALAYA,3,KEJADIAN,2020
243,32,JAWA BARAT,3279,KOTA BANJAR,12,KEJADIAN,2020
244,32,JAWA BARAT,3201,KABUPATEN BOGOR,269,KEJADIAN,2021
245,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,71,KEJADIAN,2021
246,32,JAWA BARAT,3203,KABUPATEN CIANJUR,5,KEJADIAN,2021
247,32,JAWA BARAT,3204,KABUPATEN BANDUNG,23,KEJADIAN,2021
248,32,JAWA BARAT,3205,KABUPATEN GARUT,8,KEJADIAN,2021
249,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,1,KEJADIAN,2021
250,32,JAWA BARAT,3207,KABUPATEN CIAMIS,65,KEJADIAN,2021
251,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,4,KEJADIAN,2021
252,32,JAWA BARAT,3209,KABUPATEN CIREBON,17,KEJADIAN,2021
253,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,16,KEJADIAN,2021
254,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,13,KEJADIAN,2021
255,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,5,KEJADIAN,2021
256,32,JAWA BARAT,3213,KABUPATEN SUBANG,19,KEJADIAN,2021
257,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,5,KEJADIAN,2021
258,32,JAWA BARAT,3215,KABUPATEN KARAWANG,41,KEJADIAN,2021
259,32,JAWA BARAT,3216,KABUPATEN BEKASI,3,KEJADIAN,2021
260,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,13,KEJADIAN,2021
261,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,9,KEJADIAN,2021
262,32,JAWA BARAT,3271,KOTA BOGOR,41,KEJADIAN,2021
263,32,JAWA BARAT,3272,KOTA SUKABUMI,3,KEJADIAN,2021
264,32,JAWA BARAT,3273,KOTA BANDUNG,3,KEJADIAN,2021
265,32,JAWA BARAT,3274,KOTA CIREBON,6,KEJADIAN,2021
266,32,JAWA BARAT,3275,KOTA BEKASI,6,KEJADIAN,2021
267,32,JAWA BARAT,3276,KOTA DEPOK,3,KEJADIAN,2021
268,32,JAWA BARAT,3277,KOTA CIMAHI,11,KEJADIAN,2021
269,32,JAWA BARAT,3278,KOTA TASIKMALAYA,7,KEJADIAN,2021
270,32,JAWA BARAT,3279,KOTA BANJAR,9,KEJADIAN,2021
271,32,JAWA BARAT,3201,KABUPATEN BOGOR,139,KEJADIAN,2022
272,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,67,KEJADIAN,2022
273,32,JAWA BARAT,3203,KABUPATEN CIANJUR,10,KEJADIAN,2022
274,32,JAWA BARAT,3204,KABUPATEN BANDUNG,25,KEJADIAN,2022
275,32,JAWA BARAT,3205,KABUPATEN GARUT,12,KEJADIAN,2022
276,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,2,KEJADIAN,2022
277,32,JAWA BARAT,3207,KABUPATEN CIAMIS,33,KEJADIAN,2022
278,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,7,KEJADIAN,2022
